* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 10:42:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MyAudioSession L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1,589.578 103.894 19.499
1,601.097 103.855 19.911
1,612.699 103.822 20.354
1,624.385 103.794 20.818
1,636.156 103.770 21.300
1,648.012 103.752 21.788
1,659.955 103.738 22.278
1,671.983 103.724 22.782
1,684.099 103.714 23.301
1,696.303 103.705 23.828
1,708.595 103.697 24.368
1,720.976 103.693 24.927
1,733.447 103.693 25.506
1,746.008 103.698 26.107
1,758.661 103.709 26.718
1,771.405 103.724 27.317
1,784.241 103.741 27.901
1,797.170 103.759 28.492
1,810.193 103.779 29.129
1,823.311 103.809 29.806
1,836.523 103.852 30.467
1,849.831 103.902 31.078
1,863.236 103.953 31.660
1,876.738 104.002 32.261
1,890.338 104.060 32.904
1,904.036 104.132 33.566
1,917.833 104.224 34.198
1,931.730 104.340 34.717
1,945.729 104.470 35.021
1,959.828 104.592 35.045
1,974.030 104.679 34.847
1,988.334 104.716 34.632
2,002.743 104.715 34.628
2,017.255 104.712 34.905
2,031.873 104.732 35.363
2,046.597 104.783 35.855
2,061.428 104.856 36.269
2,076.365 104.939 36.540
2,091.412 105.015 36.665
2,106.567 105.075 36.706
2,121.832 105.117 36.751
2,137.208 105.150 36.862
2,152.695 105.183 37.039
2,168.294 105.223 37.248
2,184.007 105.271 37.443
2,199.833 105.322 37.570
2,215.774 105.366 37.608
2,231.830 105.394 37.605
2,248.003 105.401 37.638
2,264.293 105.394 37.779
2,280.701 105.382 38.064
2,297.228 105.378 38.478
2,313.874 105.389 38.968
2,330.642 105.417 39.466
2,347.530 105.456 39.927
2,364.542 105.497 40.358
2,381.676 105.537 40.780
2,398.935 105.576 41.210
2,416.318 105.616 41.659
2,433.828 105.659 42.134
2,451.464 105.707 42.640
2,469.229 105.763 43.160
2,487.122 105.826 43.669
2,505.145 105.895 44.164
2,523.298 105.968 44.656
2,541.583 106.046 45.144
2,560.000 106.133 45.625
2,578.551 106.230 46.068
2,597.236 106.334 46.434
2,616.057 106.438 46.700
2,635.014 106.533 46.883
2,654.108 106.613 47.033
2,673.341 106.681 47.217
2,692.713 106.743 47.475
2,712.226 106.804 47.788
2,731.879 106.864 48.137
2,751.676 106.923 48.555
2,771.615 106.988 49.058
2,791.700 107.063 49.620
2,811.930 107.153 50.217
2,832.306 107.255 50.843
2,852.830 107.368 51.492
2,873.503 107.496 52.163
2,894.325 107.645 52.822
2,915.299 107.816 53.417
2,936.424 108.003 53.928
2,957.703 108.204 54.344
2,979.136 108.414 54.644
3,000.724 108.631 54.822
3,022.468 108.850 54.882
3,044.370 109.072 54.851
3,066.431 109.308 54.740
3,088.652 109.564 54.467
3,111.033 109.832 53.881
3,133.577 110.089 52.861
3,156.284 110.296 51.361
3,179.156 110.404 49.530
3,202.193 110.379 47.842
3,225.398 110.261 46.902
3,248.771 110.147 46.888
3,272.312 110.114 47.457
3,296.025 110.173 48.157
3,319.909 110.299 48.709
3,343.967 110.464 49.011
3,368.198 110.648 49.059
3,392.606 110.832 48.862
3,417.190 111.006 48.449
3,441.952 111.164 47.880
3,466.894 111.297 47.208
3,492.017 111.400 46.499
3,517.321 111.475 45.836
3,542.809 111.525 45.299
3,568.482 111.560 44.954
3,594.341 111.591 44.833
