*	Measurement	data	measured	by	REW	V5.20	Beta	4						
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	R,	volume:	no	control	
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-5	dBFS	With	no	timing	reference
*	Dated:	Jan	28,	2019	11.30.49	AM								
*	REW	Settings:												
*	C-weighting	compensation:	Off											
*	Target	level:	75	dB										
*	Note:	";"												
*	Measurement:	Bose	QC	35	II	R								
*	Smoothing:	Jan/48	octave											
*	Frequency	Step:	Jan/96	octave										
*	Start	Frequency:	20,1	Hz										
*														
*	Freq(Hz)	SPL(dB)	Phase(degrees)											
658,753	106,28	32,484												
663,527	106,349	32,34												
668,335	106,421	32,187												
673,178	106,493	32,011												
678,056	106,566	31,815												
682,97	106,64	31,601												
687,919	106,716	31,369												
692,904	106,792	31,115												
697,925	106,867	30,839												
702,982	106,94	30,545												
708,076	107,012	30,242												
713,208	107,085	29,92												
718,376	107,158	29,573												
723,581	107,228	29,21												
728,825	107,298	28,842												
734,106	107,367	28,459												
739,426	107,437	28,058												
744,784	107,505	27,642												
750,181	107,571	27,212												
755,617	107,637	26,764												
761,093	107,701	26,296												
766,608	107,764	25,81												
772,163	107,826	25,311												
777,758	107,888	24,796												
783,394	107,948	24,255												
789,071	108,006	23,69												
794,789	108,062	23,107												
800,548	108,115	22,513												
806,349	108,168	21,903												
812,193	108,22	21,272												
818,078	108,269	20,626												
824,006	108,315	19,969												
829,977	108,36	19,29												
835,992	108,402	18,586												
842,05	108,44	17,863												
848,151	108,475	17,127												
854,297	108,507	16,376												
860,488	108,536	15,609												
866,724	108,561	14,83												
873,004	108,584	14,037												
879,33	108,605	13,221												
885,702	108,621	12,374												
892,12	108,631	11,507												
898,585	108,635	10,633												
905,097	108,633	9,755												
911,655	108,627	8,875												
918,262	108,616	7,991												
924,916	108,602	7,099												
931,618	108,582	6,2												
938,369	108,558	5,296												
945,169	108,528	4,393												
952,018	108,494	3,489												
958,917	108,455	2,577												
965,865	108,411	1,66												
972,864	108,361	0,744												
979,914	108,306	-0,17												
987,015	108,243	-1,089												
994,167	108,172	-2,005												
1.001,37	108,094	-2,899												
1.008,63	108,01	-3,77												
1.015,94	107,921	-4,626												
1.023,30	107,825	-5,465												
1.030,71	107,724	-6,282												
1.038,18	107,618	-7,077												
1.045,71	107,505	-7,855												
1.053,28	107,386	-8,61												
1.060,92	107,26	-9,328												
1.068,60	107,128	-9,997												
1.076,35	106,993	-10,618												
1.084,15	106,855	-11,208												
1.092,00	106,714	-11,767												
1.099,92	106,568	-12,281												
1.107,89	106,419	-12,741												
1.115,92	106,268	-13,152												
1.124,00	106,116	-13,518												
1.132,15	105,964	-13,838												
1.140,35	105,812	-14,115												
1.148,61	105,661	-14,353												
1.156,94	105,512	-14,559												
1.165,32	105,364	-14,739												
1.173,77	105,216	-14,889												
1.182,27	105,069	-15,012												
1.190,84	104,926	-15,112												
1.199,47	104,784	-15,199												
1.208,16	104,644	-15,272												
1.216,91	104,503	-15,332												
1.225,73	104,364	-15,372												
1.234,61	104,225	-15,396												
1.243,56	104,087	-15,409												
1.252,57	103,95	-15,418												
1.261,65	103,814	-15,426												
1.270,79	103,677	-15,431												
1.280,00	103,541	-15,432												
1.289,28	103,405	-15,437												
1.298,62	103,27	-15,461												
1.308,03	103,134	-15,525												
1.317,51	102,994	-15,655												
1.327,05	102,843	-15,869												
