Freq(Hz) SPL(dB) Phase(degrees)
455.828 95.935 -46.460
459.131 95.855 -45.850
462.458 95.774 -45.213
465.809 95.695 -44.540
469.184 95.622 -43.844
472.584 95.554 -43.152
476.009 95.490 -42.473
479.458 95.431 -41.808
482.933 95.374 -41.166
486.432 95.317 -40.533
489.957 95.259 -39.902
493.507 95.200 -39.272
497.084 95.141 -38.634
500.686 95.083 -37.971
504.314 95.030 -37.293
507.968 94.980 -36.636
511.649 94.927 -35.997
515.357 94.872 -35.346
519.091 94.819 -34.674
522.853 94.767 -33.983
526.642 94.720 -33.270
530.458 94.679 -32.556
534.302 94.639 -31.857
538.174 94.601 -31.167
542.074 94.563 -30.480
546.002 94.525 -29.789
549.958 94.487 -29.093
553.943 94.449 -28.368
557.958 94.420 -27.610
562.001 94.403 -26.875
566.073 94.389 -26.210
570.175 94.372 -25.581
574.307 94.353 -24.966
578.469 94.332 -24.356
582.660 94.311 -23.740
586.883 94.294 -23.139
591.135 94.275 -22.559
595.419 94.253 -21.978
599.734 94.229 -21.362
604.080 94.211 -20.746
608.457 94.193 -20.154
612.866 94.177 -19.573
617.307 94.162 -19.016
621.780 94.141 -18.474
626.286 94.117 -17.908
630.824 94.095 -17.336
635.396 94.073 -16.768
640.000 94.053 -16.196
644.638 94.033 -15.627
649.309 94.014 -15.081
654.014 93.989 -14.539
658.753 93.963 -13.977
663.527 93.937 -13.397
668.335 93.913 -12.792
673.178 93.893 -12.172
678.056 93.876 -11.577
682.970 93.857 -11.021
687.919 93.830 -10.475
692.904 93.796 -9.876
697.925 93.765 -9.210
702.982 93.742 -8.550
708.076 93.717 -7.931
713.208 93.687 -7.278
718.376 93.663 -6.612
723.581 93.637 -5.951
728.825 93.608 -5.252
734.106 93.581 -4.531
739.426 93.555 -3.759
744.784 93.540 -2.963
750.181 93.530 -2.191
755.617 93.522 -1.479
761.093 93.503 -0.796
766.608 93.479 -0.051
772.163 93.458 0.750
777.758 93.438 1.569
783.394 93.418 2.424
789.071 93.407 3.305
794.789 93.404 4.152
800.548 93.398 4.982
806.349 93.386 5.847
812.193 93.373 6.809
818.078 93.376 7.836
824.006 93.389 8.816
829.977 93.396 9.765
835.992 93.397 10.764
842.050 93.405 11.831
848.151 93.428 12.919
854.297 93.463 14.002
860.488 93.502 15.072
866.724 93.543 16.185
