Freq(Hz) SPL(dB) Phase(degrees)
265.229 95.709 40.830
267.151 95.626 40.667
269.087 95.529 40.557
271.037 95.413 40.536
273.001 95.273 40.675
274.979 95.116 41.072
276.972 94.955 41.805
278.979 94.812 42.885
281.000 94.712 44.243
283.037 94.666 45.741
285.088 94.679 47.220
287.153 94.740 48.533
289.234 94.830 49.583
291.330 94.925 50.371
293.441 95.016 50.982
295.568 95.102 51.452
297.710 95.178 51.811
299.867 95.243 52.124
302.040 95.302 52.415
304.228 95.357 52.681
306.433 95.408 52.935
308.654 95.455 53.179
310.890 95.498 53.403
313.143 95.534 53.621
315.412 95.565 53.873
317.698 95.604 54.138
320.000 95.649 54.331
322.319 95.685 54.459
324.655 95.710 54.625
327.007 95.739 54.851
329.377 95.771 55.084
331.764 95.804 55.310
334.168 95.834 55.520
336.589 95.858 55.726
339.028 95.878 55.965
341.485 95.899 56.237
343.959 95.924 56.514
346.452 95.952 56.770
348.962 95.978 57.012
351.491 96.003 57.265
354.038 96.028 57.515
356.604 96.052 57.762
359.188 96.075 58.020
361.791 96.097 58.294
364.412 96.121 58.584
367.053 96.147 58.880
369.713 96.175 59.178
372.392 96.207 59.470
375.090 96.240 59.720
377.809 96.266 59.943
380.546 96.285 60.213
383.304 96.309 60.533
386.081 96.340 60.836
388.879 96.369 61.110
391.697 96.394 61.385
394.536 96.414 61.689
397.395 96.438 62.035
400.274 96.474 62.358
403.175 96.518 62.583
406.096 96.556 62.717
409.039 96.575 62.855
412.003 96.580 63.169
414.989 96.598 63.617
417.996 96.623 64.049
421.025 96.648 64.481
424.076 96.680 64.921
427.149 96.717 65.323
430.244 96.756 65.694
433.362 96.795 66.019
436.502 96.828 66.310
439.665 96.856 66.610
442.851 96.882 66.943
446.060 96.914 67.302
449.293 96.950 67.668
452.548 96.988 68.024
455.828 97.024 68.373
459.131 97.059 68.733
462.458 97.096 69.097
465.809 97.135 69.444
469.184 97.172 69.778
472.584 97.207 70.116
476.009 97.241 70.458
479.458 97.274 70.819
482.933 97.311 71.211
486.432 97.356 71.594
489.957 97.401 71.933
493.507 97.441 72.265
497.084 97.478 72.631
500.686 97.519 73.024
504.314 97.567 73.405
507.968 97.613 73.757
511.649 97.655 74.113
515.357 97.695 74.490
519.091 97.736 74.879
522.853 97.782 75.270
526.642 97.834 75.639
530.458 97.885 76.000
534.302 97.933 76.394
538.174 97.979 76.803
542.074 98.015 77.177
546.002 98.039 77.532
549.958 98.070 77.866
553.943 98.117 78.115
557.958 98.173 78.410
562.001 98.246 78.835
566.073 98.323 79.272
570.175 98.387 79.673
574.307 98.439 80.058
578.469 98.491 80.434
582.660 98.548 80.794
586.883 98.608 81.161
591.135 98.669 81.524
595.419 98.722 81.850
599.734 98.755 82.200
604.080 98.788 82.645
608.457 98.838 83.100
612.866 98.896 83.490
617.307 98.949 83.857
621.780 98.997 84.242
626.286 99.044 84.661
630.824 99.091 85.123
635.396 99.146 85.654
640.000 99.213 86.147
644.638 99.276 86.582
649.309 99.335 87.039
654.014 99.402 87.524
658.753 99.479 87.976
663.527 99.558 88.405
668.335 99.636 88.835
673.178 99.709 89.266
678.056 99.779 89.696
682.970 99.849 90.126
687.919 99.921 90.540
692.904 99.992 90.937
697.925 100.064 91.365
702.982 100.143 91.837
708.076 100.228 92.311
713.208 100.314 92.785
718.376 100.404 93.241
723.581 100.495 93.679
728.825 100.588 94.118
734.106 100.683 94.551
739.426 100.776 94.973
744.784 100.870 95.383
750.181 100.970 95.775
755.617 101.074 96.139
761.093 101.178 96.492
766.608 101.279 96.848
772.163 101.381 97.201
777.758 101.483 97.549
783.394 101.587 97.924
789.071 101.699 98.304
794.789 101.813 98.635
800.548 101.928 98.918
806.349 102.045 99.152
812.193 102.156 99.361
818.078 102.265 99.596
824.006 102.379 99.844
829.977 102.500 100.110
835.992 102.628 100.352
842.050 102.758 100.515
848.151 102.879 100.612
854.297 102.994 100.701
860.488 103.106 100.818
866.724 103.224 100.960
873.004 103.348 101.066
879.330 103.473 101.131
885.702 103.600 101.177
892.120 103.728 101.182
898.585 103.856 101.125
905.097 103.977 101.005
911.655 104.090 100.872
918.262 104.198 100.770
924.916 104.308 100.685
931.618 104.420 100.587
938.369 104.537 100.459
945.169 104.655 100.268
952.018 104.766 100.008
958.917 104.865 99.785
