*	Measurement	data	measured	by	REW	V5.20	Beta	4												
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	L,	volume:	no	control							
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-8	dBFS	With	no	timing	reference						
*	Dated:	Jan	28,	2019	11.32.59	AM														
*	REW	Settings:																		
*	C-weighting	compensation:	Off																	
*	Target	level:	75	dB																
*	Note:	Really	big	difference	between	R	&	L.	We	had	to	adjust	fit	several	times	to	get	a	good	measurement
*	Measurement:	Bose	QC	35	II	L														
*	Smoothing:	Jan/48	octave																	
*	Frequency	Step:	Jan/96	octave																
*	Start	Frequency:	20,1	Hz																
*																				
*	Freq(Hz)	SPL(dB)	Phase(degrees)																	
140,5	99,129	62,319																		
141,518	99,168	62,286																		
142,544	99,211	62,251																		
143,577	99,257	62,196																		
144,617	99,302	62,117																		
145,665	99,345	62,023																		
146,721	99,385	61,929																		
147,784	99,423	61,855																		
148,855	99,462	61,803																		
149,933	99,505	61,759																		
151,02	99,549	61,708																		
152,114	99,594	61,647																		
153,217	99,639	61,579																		
154,327	99,683	61,506																		
155,445	99,726	61,436																		
156,572	99,77	61,368																		
157,706	99,813	61,295																		
158,849	99,854	61,224																		
160	99,896	61,16																		
161,159	99,938	61,102																		
162,327	99,979	61,052																		
163,504	100,022	61,025																		
164,688	100,07	61,008																		
165,882	100,122	60,979																		
167,084	100,177	60,933																		
168,295	100,235	60,878																		
169,514	100,296	60,8																		
170,742	100,357	60,688																		
171,98	100,417	60,552																		
173,226	100,475	60,412																		
174,481	100,534	60,261																		
175,746	100,592	60,088																		
177,019	100,646	59,894																		
178,302	100,694	59,703																		
179,594	100,739	59,54																		
180,895	100,784	59,404																		
182,206	100,83	59,284																		
183,527	100,876	59,181																		
184,856	100,925	59,102																		
186,196	100,978	59,034																		
187,545	101,037	58,951																		
188,904	101,099	58,829																		
190,273	101,159	58,667																		
191,652	101,214	58,475																		
193,041	101,264	58,279																		
194,44	101,312	58,107																		
195,849	101,363	57,937																		
197,268	101,415	57,722																		
198,697	101,455	57,509																		
200,137	101,493	57,381																		
201,587	101,542	57,319																		
203,048	101,603	57,239																		
204,52	101,669	57,099																		
206,002	101,73	56,919																		
207,494	101,785	56,755																		
208,998	101,84	56,642																		
210,512	101,903	56,55																		
212,038	101,972	56,442																		
213,574	102,046	56,323																		
215,122	102,125	56,186																		
216,681	102,211	55,995																		
218,251	102,297	55,735																		
219,833	102,377	55,43																		
221,426	102,454	55,108																		
223,03	102,528	54,783																		
224,646	102,604	54,443																		
226,274	102,681	54,066																		
227,914	102,755	53,645																		
229,565	102,823	53,183																		
231,229	102,884	52,701																		
232,905	102,937	52,23																		
234,592	102,99	51,786																		
236,292	103,045	51,34																		
238,004	103,101	50,861																		
239,729	103,152	50,36																		
241,466	103,2	49,879																		
243,216	103,249	49,416																		
244,979	103,299	48,927																		
246,754	103,342	48,417																		
248,542	103,379	47,938																		
250,343	103,416	47,483																		
252,157	103,454	47,007																		
253,984	103,489	46,504																		
255,825	103,521	45,98																		
257,678	103,546	45,429																		
259,546	103,563	44,879																		
261,426	103,574	44,373																		
263,321	103,589	43,893																		
265,229	103,604	43,381																		
267,151	103,613	42,85																		
269,087	103,615	42,348																		
271,037	103,617	41,878																		
273,001	103,621	41,41																		
274,979	103,623	40,927																		
276,972	103,62	40,442																		
278,979	103,612	39,973																		
281	103,603	39,516																		
283,037	103,592	39,063																		
285,088	103,577	38,618																		
287,153	103,558	38,198																		
289,234	103,538	37,811																		
291,33	103,518	37,454																		
293,441	103,499	37,12																		
295,568	103,478	36,801																		
297,71	103,456	36,508																		
299,867	103,433	36,242																		
302,04	103,409	35,996																		
304,228	103,385	35,769																		
306,433	103,358	35,567																		
308,654	103,33	35,407																		
310,89	103,306	35,288																		
313,143	103,288	35,178																		
315,412	103,272	35,054																		
317,698	103,256	34,928																		
320	103,24	34,822																		
322,319	103,229	34,727																		
324,655	103,221	34,618																		
327,007	103,214	34,492																		
329,377	103,206	34,36																		
331,764	103,196	34,232																		
334,168	103,185	34,118																		
336,589	103,175	34,028																		
339,028	103,167	33,947																		
341,485	103,16	33,865																		
343,959	103,153	33,786																		
346,452	103,147	33,712																		
348,962	103,142	33,633																		
351,491	103,135	33,553																		
354,038	103,126	33,489																		
356,604	103,117	33,448																		
359,188	103,109	33,426																		
361,791	103,104	33,42																		
364,412	103,101	33,416																		
367,053	103,099	33,409																		
369,713	103,096	33,408																		
372,392	103,095	33,416																		
375,09	103,094	33,427																		
377,809	103,094	33,433																		
380,546	103,094	33,436																		
383,304	103,094	33,441																		
386,081	103,093	33,457																		
388,879	103,093	33,489																		
391,697	103,095	33,529																		
394,536	103,098	33,566																		
397,395	103,101	33,605																		
400,274	103,104	33,662																		
403,175	103,111	33,733																		
406,096	103,12	33,805																		
409,039	103,131	33,893																		
412,003	103,147	33,995																		
414,989	103,169	34,063																		
417,996	103,189	34,097																		
421,025	103,207	34,138																		
424,076	103,226	34,193																		
427,149	103,247	34,254																		
430,244	103,267	34,314																		
433,362	103,287	34,378																		
436,502	103,309	34,451																		
439,665	103,332	34,523																		
442,851	103,355	34,588																		
446,06	103,38	34,649																		
449,293	103,404	34,707																		
452,548	103,43	34,763																		
455,828	103,456	34,813																		
459,131	103,482	34,859																		
462,458	103,51	34,904																		
465,809	103,539	34,946																		
469,184	103,568	34,99																		
472,584	103,599	35,039																		
476,009	103,63	35,093																		
479,458	103,663	35,151																		
482,933	103,698	35,211																		
486,432	103,734	35,268																		
489,957	103,772	35,317																		
493,507	103,81	35,361																		
497,084	103,85	35,399																		
500,686	103,89	35,435																		
504,314	103,931	35,472																		
507,968	103,973	35,512																		
511,649	104,017	35,551																		
515,357	104,063	35,586																		
519,091	104,11	35,61																		
522,853	104,157	35,619																		
526,642	104,204	35,623																		
530,458	104,252	35,622																		
534,302	104,3	35,61																		
538,174	104,348	35,599																		
542,074	104,398	35,587																		
546,002	104,449	35,568																		
549,958	104,502	35,545																		
553,943	104,557	35,511																		
557,958	104,614	35,456																		
562,001	104,669	35,399																		
566,073	104,725	35,35																		
570,175	104,783	35,298																		
574,307	104,843	35,231																		
578,469	104,904	35,153																		
582,66	104,964	35,071																		
586,883	105,026	34,977																		
591,135	105,087	34,87																		
595,419	105,148	34,751																		
599,734	105,21	34,62																		
604,08	105,272	34,479																		
608,457	105,333	34,331																		
612,866	105,395	34,177																		
