* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -9.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 11:06:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio-Technica M50x R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1,365.940 101.219 48.906
1,375.838 101.199 49.460
1,385.808 101.181 50.052
1,395.850 101.165 50.665
1,405.965 101.152 51.294
1,416.153 101.138 51.941
1,426.415 101.121 52.619
1,436.751 101.100 53.358
1,447.163 101.077 54.198
1,457.649 101.063 55.149
1,468.212 101.066 56.174
1,478.851 101.088 57.216
1,489.568 101.126 58.206
1,500.362 101.166 59.121
1,511.234 101.200 60.000
1,522.185 101.225 60.905
1,533.215 101.247 61.900
1,544.326 101.275 63.001
1,555.517 101.317 64.176
1,566.789 101.371 65.389
1,578.142 101.438 66.645
1,589.578 101.522 67.947
1,601.097 101.624 69.249
1,612.699 101.745 70.520
1,624.385 101.881 71.741
1,636.156 102.031 72.907
1,648.012 102.191 74.010
1,659.955 102.359 75.062
1,671.983 102.534 76.050
1,684.099 102.713 76.983
1,696.303 102.900 77.890
1,708.595 103.097 78.751
1,720.976 103.304 79.545
1,733.447 103.518 80.265
1,746.008 103.737 80.892
1,758.661 103.956 81.429
1,771.405 104.174 81.880
1,784.241 104.390 82.266
1,797.170 104.607 82.609
1,810.193 104.823 82.905
1,823.311 105.041 83.152
1,836.523 105.259 83.332
1,849.831 105.476 83.439
1,863.236 105.689 83.488
1,876.738 105.898 83.499
1,890.338 106.106 83.472
1,904.036 106.312 83.391
1,917.833 106.514 83.265
1,931.730 106.716 83.100
1,945.729 106.914 82.887
1,959.828 107.107 82.627
1,974.030 107.297 82.320
1,988.334 107.482 81.969
2,002.743 107.662 81.569
2,017.255 107.834 81.133
2,031.873 107.998 80.670
2,046.597 108.154 80.185
2,061.428 108.302 79.685
2,076.365 108.441 79.184
2,091.412 108.571 78.703
2,106.567 108.694 78.253
2,121.832 108.812 77.854
2,137.208 108.932 77.533
2,152.695 109.062 77.259
2,168.294 109.206 76.960
2,184.007 109.357 76.588
2,199.833 109.512 76.144
2,215.774 109.666 75.625
2,231.830 109.815 75.022
2,248.003 109.954 74.342
2,264.293 110.083 73.609
2,280.701 110.199 72.845
2,297.228 110.304 72.071
2,313.874 110.396 71.312
2,330.642 110.478 70.590
2,347.530 110.550 69.929
2,364.542 110.621 69.344
2,381.676 110.696 68.819
2,398.935 110.780 68.316
2,416.318 110.874 67.792
2,433.828 110.978 67.212
2,451.464 111.086 66.517
2,469.229 111.182 65.666
2,487.122 111.255 64.715
2,505.145 111.300 63.767
2,523.298 111.326 62.909
2,541.583 111.342 62.179
2,560.000 111.359 61.550
2,578.551 111.379 60.974
2,597.236 111.400 60.420
2,616.057 111.421 59.885
2,635.014 111.445 59.357
2,654.108 111.469 58.817
2,673.341 111.489 58.281
2,692.713 111.506 57.760
2,712.226 111.520 57.242
2,731.879 111.529 56.727
2,751.676 111.531 56.226
2,771.615 111.529 55.742
2,791.700 111.521 55.279
2,811.930 111.509 54.846
2,832.306 111.491 54.444
2,852.830 111.462 54.090
2,873.503 111.421 53.834
2,894.325 111.376 53.742
2,915.299 111.344 53.830
2,936.424 111.342 54.025
2,957.703 111.370 54.173
2,979.136 111.409 54.156
3,000.724 111.441 53.995
3,022.468 111.457 53.784
3,044.370 111.459 53.591
3,066.431 111.452 53.452
3,088.652 111.439 53.389
3,111.033 111.425 53.412
3,133.577 111.410 53.520
3,156.284 111.399 53.694
3,179.156 111.391 53.915
3,202.193 111.387 54.172
3,225.398 111.385 54.464
3,248.771 111.382 54.810
3,272.312 111.379 55.247
3,296.025 111.380 55.796
3,319.909 111.390 56.447
3,343.967 111.411 57.196
3,368.198 111.447 58.034
3,392.606 111.500 58.943
3,417.190 111.572 59.904
3,441.952 111.662 60.910
3,466.894 111.770 61.975
3,492.017 111.897 63.103
3,517.321 112.048 64.288
3,542.809 112.226 65.516
3,568.482 112.438 66.771
3,594.341 112.686 68.027
3,620.387 112.972 69.254
3,646.622 113.296 70.411
3,673.046 113.658 71.470
3,699.663 114.061 72.396
3,726.472 114.506 73.129
3,753.476 114.991 73.621
3,780.675 115.511 73.819
3,808.071 116.061 73.670
3,835.666 116.632 73.127
3,863.461 117.212 72.159
3,891.457 117.791 70.748
3,919.656 118.358 68.902
3,948.060 118.902 66.656
3,976.669 119.418 64.049
4,005.486 119.900 61.095
4,034.511 120.333 57.813
4,063.747 120.700 54.314
4,093.194 121.002 50.681
4,122.855 121.241 46.877
4,152.731 121.420 42.881
4,182.824 121.556 38.778
4,213.134 121.658 34.677
4,243.664 121.735 30.582
4,274.416 121.797 26.418
4,305.390 121.849 22.104
4,336.588 121.889 17.586
4,368.013 121.921 12.842
4,399.666 121.946 7.823
4,431.547 121.949 2.454
4,463.660 121.921 -3.261
4,496.005 121.868 -9.179
4,528.585 121.784 -15.180
4,561.401 121.647 -21.169
4,594.455 121.413 -27.102
4,627.749 121.023 -32.815
4,661.283 120.445 -37.978
4,695.061 119.698 -42.359
4,729.083 118.830 -45.903
4,763.352 117.905 -48.626
4,797.869 116.978 -50.529
4,832.637 116.072 -51.688
4,867.656 115.200 -52.207
4,902.929 114.372 -52.181
4,938.458 113.605 -51.753
4,974.244 112.900 -51.118
5,010.289 112.241 -50.408
5,046.596 111.605 -49.606
5,083.166 110.986 -48.621
5,120.000 110.387 -47.436
5,157.102 109.811 -46.110
5,194.472 109.252 -44.707
5,232.113 108.695 -43.226
5,270.027 108.125 -41.558
5,308.216 107.540 -39.507
5,346.682 106.962 -36.916
5,385.426 106.420 -33.802
5,424.451 105.935 -30.279
5,463.759 105.511 -26.402
5,503.352 105.160 -22.167
5,543.231 104.914 -17.623
5,583.399 104.798 -12.965
5,623.859 104.808 -8.481
